date,Median,High_80,Low_80,Infections,Adjusted_Postive
2020-02-26,1.971,2.247,1.650,179.284,0.000
2020-02-27,1.957,2.237,1.645,2.538,0.000
2020-02-28,1.962,2.218,1.652,35.998,0.000
2020-02-29,1.949,2.187,1.644,68.593,0.000
2020-03-01,1.947,2.150,1.648,76.322,0.000
2020-03-02,1.936,2.168,1.703,82.441,0.000
2020-03-03,1.909,2.119,1.674,94.681,12.127
2020-03-04,1.885,2.092,1.665,109.646,18.898
2020-03-05,1.854,2.045,1.664,125.750,23.685
2020-03-06,1.818,1.987,1.629,143.592,28.947
2020-03-07,1.768,1.924,1.595,163.572,35.926
2020-03-08,1.714,1.890,1.570,185.539,42.499
2020-03-09,1.666,1.801,1.507,209.286,51.260
2020-03-10,1.608,1.718,1.444,234.595,58.817
2020-03-11,1.543,1.670,1.408,261.109,68.142
2020-03-12,1.476,1.611,1.372,288.387,79.601
2020-03-13,1.414,1.524,1.295,315.878,91.094
2020-03-14,1.354,1.462,1.250,342.923,104.649
2020-03-15,1.298,1.399,1.185,368.945,119.661
2020-03-16,1.255,1.350,1.157,393.395,136.958
2020-03-17,1.214,1.300,1.122,415.586,154.982
2020-03-18,1.177,1.258,1.082,435.915,174.829
2020-03-19,1.147,1.240,1.069,453.877,196.280
2020-03-20,1.127,1.196,1.035,469.491,219.022
2020-03-21,1.113,1.187,1.015,483.098,242.711
2020-03-22,1.100,1.182,1.015,495.106,267.259
2020-03-23,1.097,1.184,1.016,505.936,291.990
2020-03-24,1.090,1.168,1.003,515.882,316.587
2020-03-25,1.092,1.179,1.017,525.365,340.815
2020-03-26,1.094,1.190,1.021,534.743,364.422
2020-03-27,1.096,1.190,1.025,544.155,386.937
2020-03-28,1.100,1.195,1.032,553.782,408.275
2020-03-29,1.107,1.182,1.019,563.876,428.194
2020-03-30,1.110,1.186,1.017,574.674,446.856
2020-03-31,1.115,1.195,1.030,586.226,464.167
2020-04-01,1.120,1.204,1.036,598.433,480.312
2020-04-02,1.120,1.205,1.034,611.267,495.339
2020-04-03,1.122,1.212,1.039,624.814,509.510
2020-04-04,1.122,1.231,1.057,639.012,522.930
2020-04-05,1.121,1.206,1.038,653.753,535.858
2020-04-06,1.122,1.209,1.042,669.102,548.441
2020-04-07,1.122,1.200,1.031,684.958,560.912
2020-04-08,1.120,1.203,1.038,701.155,573.386
2020-04-09,1.123,1.202,1.038,717.587,586.041
2020-04-10,1.125,1.204,1.036,734.178,598.878
2020-04-11,1.125,1.205,1.041,751.077,612.081
2020-04-12,1.123,1.200,1.042,768.438,625.692
2020-04-13,1.119,1.202,1.049,786.210,639.768
2020-04-14,1.123,1.205,1.045,804.276,654.269
2020-04-15,1.128,1.204,1.042,822.750,669.252
2020-04-16,1.129,1.210,1.045,842.010,684.668
2020-04-17,1.138,1.218,1.050,862.188,700.501
2020-04-18,1.139,1.227,1.053,883.274,716.759
2020-04-19,1.141,1.231,1.059,905.501,733.404
2020-04-20,1.148,1.223,1.055,929.103,750.455
2020-04-21,1.153,1.240,1.073,954.034,767.898
2020-04-22,1.155,1.254,1.077,980.224,785.778
2020-04-23,1.158,1.253,1.081,1007.874,804.097
2020-04-24,1.163,1.248,1.068,1037.009,822.955
2020-04-25,1.163,1.245,1.075,1067.602,842.428
2020-04-26,1.168,1.248,1.071,1099.785,862.585
2020-04-27,1.169,1.237,1.073,1133.396,883.564
2020-04-28,1.173,1.258,1.082,1168.421,905.431
2020-04-29,1.174,1.279,1.096,1205.299,928.279
2020-04-30,1.176,1.283,1.099,1244.258,952.191
2020-05-01,1.176,1.260,1.086,1285.086,977.281
2020-05-02,1.175,1.278,1.100,1327.400,1003.555
2020-05-03,1.187,1.264,1.084,1371.149,1031.156
2020-05-04,1.186,1.267,1.095,1416.584,1060.092
2020-05-05,1.182,1.255,1.090,1464.400,1090.430
2020-05-06,1.183,1.267,1.092,1514.492,1122.262
2020-05-07,1.178,1.264,1.093,1566.057,1155.670
2020-05-08,1.176,1.272,1.099,1618.907,1190.699
2020-05-09,1.173,1.261,1.088,1672.855,1227.365
2020-05-10,1.168,1.256,1.084,1727.817,1265.685
2020-05-11,1.167,1.255,1.087,1783.734,1305.727
2020-05-12,1.167,1.245,1.078,1840.403,1347.574
2020-05-13,1.165,1.258,1.090,1898.285,1391.257
2020-05-14,1.163,1.240,1.079,1957.824,1436.758
2020-05-15,1.162,1.237,1.077,2018.808,1484.023
2020-05-16,1.161,1.243,1.086,2080.751,1532.979
2020-05-17,1.161,1.239,1.072,2143.587,1583.540
2020-05-18,1.160,1.237,1.075,2207.731,1635.608
2020-05-19,1.159,1.245,1.080,2273.939,1689.109
2020-05-20,1.161,1.233,1.067,2342.133,1744.026
2020-05-21,1.158,1.231,1.061,2411.814,1800.357
2020-05-22,1.162,1.250,1.083,2483.386,1858.075
2020-05-23,1.164,1.250,1.079,2557.297,1917.135
2020-05-24,1.166,1.255,1.082,2634.122,1977.518
2020-05-25,1.170,1.257,1.087,2714.327,2039.271
2020-05-26,1.175,1.276,1.100,2798.379,2102.473
2020-05-27,1.178,1.258,1.092,2886.788,2167.174
2020-05-28,1.177,1.267,1.094,2979.497,2233.430
2020-05-29,1.183,1.259,1.085,3077.164,2301.336
2020-05-30,1.190,1.272,1.089,3179.665,2371.042
2020-05-31,1.188,1.279,1.102,3287.063,2442.749
2020-06-01,1.184,1.283,1.112,3400.613,2516.705
2020-06-02,1.190,1.269,1.094,3520.186,2593.198
2020-06-03,1.193,1.281,1.104,3644.463,2672.528
2020-06-04,1.196,1.266,1.090,3774.038,2755.013
2020-06-05,1.194,1.275,1.101,3910.011,2840.960
2020-06-06,1.196,1.282,1.107,4052.097,2930.651
2020-06-07,1.196,1.281,1.098,4199.906,3024.426
2020-06-08,1.195,1.291,1.108,4353.638,3122.624
2020-06-09,1.195,1.284,1.098,4512.669,3225.468
2020-06-10,1.193,1.294,1.105,4676.217,3333.140
2020-06-11,1.191,1.266,1.085,4845.227,3445.865
2020-06-12,1.186,1.288,1.100,5019.860,3563.861
2020-06-13,1.180,1.255,1.077,5198.471,3687.310
2020-06-14,1.177,1.255,1.079,5379.956,3816.357
2020-06-15,1.170,1.247,1.073,5563.404,3951.075
2020-06-16,1.166,1.254,1.082,5748.603,4091.452
2020-06-17,1.160,1.233,1.063,5935.308,4237.491
2020-06-18,1.154,1.245,1.072,6121.861,4389.205
2020-06-19,1.147,1.228,1.058,6306.821,4546.508
2020-06-20,1.140,1.216,1.054,6489.761,4709.192
2020-06-21,1.130,1.206,1.038,6669.776,4876.919
2020-06-22,1.121,1.201,1.043,6845.489,5049.281
2020-06-23,1.115,1.185,1.024,7015.860,5225.867
2020-06-24,1.109,1.174,1.018,7180.196,5406.168
2020-06-25,1.098,1.170,1.011,7337.593,5589.538
2020-06-26,1.086,1.167,1.004,7486.592,5775.282
2020-06-27,1.077,1.162,1.001,7625.344,5962.661
2020-06-28,1.067,1.146,0.986,7752.554,6150.863
2020-06-29,1.058,1.149,0.988,7869.149,6339.016
2020-06-30,1.049,1.139,0.977,7975.033,6526.227
2020-07-01,1.042,1.109,0.957,8068.896,6711.589
2020-07-02,1.032,1.109,0.960,8151.220,6894.148
2020-07-03,1.025,1.100,0.949,8223.036,7072.852
2020-07-04,1.017,1.091,0.936,8283.071,7246.570
2020-07-05,1.008,1.076,0.933,8329.852,7414.276
2020-07-06,1.004,1.062,0.923,8363.242,7575.068
2020-07-07,0.994,1.056,0.915,8383.848,7728.079
2020-07-08,0.986,1.056,0.922,8391.957,7872.538
2020-07-09,0.975,1.043,0.903,8386.508,8007.854
2020-07-10,0.967,1.042,0.908,8367.559,8133.500
2020-07-11,0.960,1.032,0.897,8334.529,8248.915
2020-07-12,0.956,1.018,0.877,8288.870,8353.533
2020-07-13,0.947,1.025,0.888,8231.407,8446.864
2020-07-14,0.941,1.013,0.873,8161.294,8528.529
2020-07-15,0.934,1.008,0.868,8080.871,8598.160
2020-07-16,0.928,1.007,0.865,7991.110,8655.396
2020-07-17,0.922,0.992,0.856,7891.041,8699.878
2020-07-18,0.917,0.977,0.848,7782.932,8731.380
2020-07-19,0.909,0.971,0.835,7667.610,8749.819
2020-07-20,0.904,0.979,0.850,7544.453,8755.135
2020-07-21,0.898,0.974,0.836,7413.557,8747.432
2020-07-22,0.891,0.962,0.831,7275.983,8726.988
2020-07-23,0.882,0.960,0.823,7133.287,8694.081
2020-07-24,0.880,0.948,0.812,6984.832,8649.117
2020-07-25,0.878,0.943,0.814,6830.349,8592.621
2020-07-26,0.874,0.933,0.805,6671.634,8525.089
2020-07-27,0.868,0.939,0.806,6510.324,8446.992
2020-07-28,0.866,0.924,0.792,6346.040,8358.817
2020-07-29,0.861,0.928,0.795,6180.419,8261.118
2020-07-30,0.859,0.930,0.792,6014.704,8154.439
2020-07-31,0.856,0.924,0.789,5848.818,8039.250
2020-08-01,0.854,0.917,0.776,5683.839,7916.048
2020-08-02,0.851,0.920,0.775,5520.720,7785.454
2020-08-03,0.852,0.924,0.780,5360.169,7648.094
2020-08-04,0.851,0.930,0.779,5202.057,7504.653
2020-08-05,0.853,0.927,0.778,5046.684,7355.879
2020-08-06,0.847,0.930,0.782,4894.342,7202.524
2020-08-07,0.849,0.931,0.781,4745.874,7045.367
2020-08-08,0.847,0.927,0.773,4601.850,6885.200
2020-08-09,0.849,0.941,0.775,4462.401,6722.818
2020-08-10,0.850,0.933,0.753,4327.900,6558.973
2020-08-11,0.847,0.955,0.768,4198.573,6394.366
2020-08-12,0.851,0.960,0.760,4074.014,6229.615
2020-08-13,0.849,0.956,0.740,3953.699,6065.332
2020-08-14,0.850,0.982,0.750,3837.909,5902.127
2020-08-15,0.846,0.985,0.749,3726.664,5740.573
2020-08-16,0.845,0.977,0.726,3619.434,5581.202
2020-08-17,0.846,0.966,0.703,3516.190,5424.517
2020-08-18,0.842,0.982,0.713,3417.028,5270.943
2020-08-19,0.848,0.999,0.716,3322.027,5120.788
2020-08-20,0.847,1.002,0.707,3231.011,4974.305
2020-08-21,0.847,0.997,0.694,3144.310,4831.695
2020-08-22,0.852,1.003,0.688,3062.387,4693.092
2020-08-23,0.852,1.002,0.680,2984.657,4558.568
